cell,python_direction,ns3_direction,python_delay_ratio,ns3_delay_ratio,ns3_delivery_difference,ns3_ci_significant,consistent,forbidden_opposite_conflict,mechanism_interpretation
4-medium-periodic,fixed_worse,fixed_worse,1.2054743452060395,64.17134096866799,-0.8957499999999999,True,True,False,Python abstraction favors reservation; ns-3 includes causal per-hop Wi-Fi contention and logical reservation handshake overhead.
4-medium-poisson,fixed_better,fixed_worse,0.13546880542597733,39.486701890640205,-0.39125,True,False,True,Python abstraction favors reservation; ns-3 includes causal per-hop Wi-Fi contention and logical reservation handshake overhead.
4-high-periodic,fixed_better,fixed_worse,0.22112025892015968,4.024505495686054,-0.524,True,False,True,Python abstraction favors reservation; ns-3 includes causal per-hop Wi-Fi contention and logical reservation handshake overhead.
4-high-poisson,fixed_better,fixed_worse,0.2185076277814454,5.485364428441106,-0.37124999999999997,True,False,True,Python abstraction favors reservation; ns-3 includes causal per-hop Wi-Fi contention and logical reservation handshake overhead.
6-medium-periodic,fixed_better,fixed_worse,0.019662501466902745,57.81845236272598,-0.9027499999999999,True,False,True,Python abstraction favors reservation; ns-3 includes causal per-hop Wi-Fi contention and logical reservation handshake overhead.
6-medium-poisson,fixed_better,fixed_worse,0.025111098259016827,39.92783902826281,-0.4885,True,False,True,Python abstraction favors reservation; ns-3 includes causal per-hop Wi-Fi contention and logical reservation handshake overhead.
6-high-periodic,fixed_better,fixed_worse,0.12130038895218134,5.349872868710436,-0.525,True,False,True,Python abstraction favors reservation; ns-3 includes causal per-hop Wi-Fi contention and logical reservation handshake overhead.
6-high-poisson,fixed_better,fixed_worse,0.13062079512477567,6.623860078619055,-0.4095,True,False,True,Python abstraction favors reservation; ns-3 includes causal per-hop Wi-Fi contention and logical reservation handshake overhead.
