traffic_type,hop_count,load_level,protocol,average_end_to_end_delay_n,average_end_to_end_delay_mean,average_end_to_end_delay_sample_std,average_end_to_end_delay_median,average_end_to_end_delay_minimum,average_end_to_end_delay_maximum,average_end_to_end_delay_ci95_low,average_end_to_end_delay_ci95_high,p95_end_to_end_delay_n,p95_end_to_end_delay_mean,p95_end_to_end_delay_sample_std,p95_end_to_end_delay_median,p95_end_to_end_delay_minimum,p95_end_to_end_delay_maximum,p95_end_to_end_delay_ci95_low,p95_end_to_end_delay_ci95_high,delivery_ratio_n,delivery_ratio_mean,delivery_ratio_sample_std,delivery_ratio_median,delivery_ratio_minimum,delivery_ratio_maximum,delivery_ratio_ci95_low,delivery_ratio_ci95_high,throughput_bps_n,throughput_bps_mean,throughput_bps_sample_std,throughput_bps_median,throughput_bps_minimum,throughput_bps_maximum,throughput_bps_ci95_low,throughput_bps_ci95_high,control_bytes_sent_n,control_bytes_sent_mean,control_bytes_sent_sample_std,control_bytes_sent_median,control_bytes_sent_minimum,control_bytes_sent_maximum,control_bytes_sent_ci95_low,control_bytes_sent_ci95_high,total_bytes_sent_n,total_bytes_sent_mean,total_bytes_sent_sample_std,total_bytes_sent_median,total_bytes_sent_minimum,total_bytes_sent_maximum,total_bytes_sent_ci95_low,total_bytes_sent_ci95_high
periodic,2,high,DCF,20,0.1920638089999963,0.023861554451220915,0.18960372999999844,0.13747691999999723,0.23788062999999293,0.18160602167085474,0.20252159632913788,20,0.3351840799999658,0.031295656483382166,0.33488914999996755,0.25839489999996373,0.3984646999999682,0.3214681538016902,0.3489000061982414,20,1.0,0.0,1.0,1.0,1.0,1.0,1.0,20,859002.6642896461,10969.142574925627,858694.0025719297,843707.1619326798,882502.8089918094,854195.2255929717,863810.1029863205,20,5600.0,0.0,5600.0,5600.0,5600.0,5600.0,5600.0,20,479055.0,10677.002684077093,479584.0,456308.0,494396.0,474375.59725568135,483734.40274431865
periodic,2,high,Fixed-PRMAC,20,0.23337638500001118,0.0006148182369611685,0.23342485000001145,0.23182660000001143,0.2343896000000113,0.23310692902716743,0.23364584097285493,20,0.43461480000005437,0.0011960165418677066,0.4346754000000539,0.432080900000055,0.4366209000000543,0.4340906226392476,0.43513897736086116,20,1.0,0.0,1.0,1.0,1.0,1.0,1.0,20,799608.6253503525,440.4473749240801,799571.3240535446,798850.0927375802,800465.896166105,799415.5907772676,799801.6599234374,20,32000.0,0.0,32000.0,32000.0,32000.0,32000.0,32000.0,20,460800.0,0.0,460800.0,460800.0,460800.0,460800.0,460800.0
periodic,2,low,DCF,20,0.009111909999998157,9.228097825383399e-06,0.009113849999998234,0.009095099999998139,0.00913699999999833,0.009107865607806204,0.00911595439219011,20,0.009329300000000863,1.4903549559564677e-05,0.009332000000002361,0.009312000000000625,0.009353000000003218,0.009322768231416303,0.009335831768585422,20,1.0,0.0,1.0,1.0,1.0,1.0,1.0,20,164512.37856246188,1.8666663145899127,164512.1637990154,164510.01639477292,164516.95436381624,164511.56045987882,164513.19666504493,20,5600.0,0.0,5600.0,5600.0,5600.0,5600.0,5600.0,20,428800.0,0.0,428800.0,428800.0,428800.0,428800.0,428800.0
periodic,2,low,Fixed-PRMAC,20,0.009914674999999184,5.642216343177988e-06,0.009915149999999186,0.009903699999999186,0.00992439999999917,0.009912202189658912,0.009917147810339456,20,0.010059049999998458,9.719622040448938e-06,0.010065999999996578,0.010045999999999892,0.010065999999999242,0.01005479018782124,0.010063309812175675,20,1.0,0.0,1.0,1.0,1.0,1.0,1.0,20,164499.3132635546,1.6675324524017057,164499.0489900389,164496.90192815996,164501.85677053058,164498.58243523462,164500.04409187456,20,32000.0,0.0,32000.0,32000.0,32000.0,32000.0,32000.0,20,460800.0,0.0,460800.0,460800.0,460800.0,460800.0,460800.0
periodic,2,medium,DCF,20,0.00911191000000067,9.228097825314649e-06,0.009113850000000692,0.00909510000000068,0.009137000000000662,0.009107865607808747,0.009115954392192593,20,0.009329300000002164,1.4903549559461468e-05,0.009332000000003227,0.00931199999999996,0.009353000000003074,0.00932276823141765,0.009335831768586678,20,1.0,0.0,1.0,1.0,1.0,1.0,1.0,20,410716.22433092905,11.634766908427979,410714.8855594248,410701.50142682646,410744.7456060039,410711.12516950595,410721.32349235215,20,5600.0,0.0,5600.0,5600.0,5600.0,5600.0,5600.0,20,428800.0,0.0,428800.0,428800.0,428800.0,428800.0,428800.0
periodic,2,medium,Fixed-PRMAC,20,0.009914675000000123,5.642216343170959e-06,0.009915150000000122,0.009903700000000135,0.009924400000000125,0.009912202189659852,0.009917147810340393,20,0.010059050000000111,9.719622041447393e-06,0.0100659999999998,0.010046,0.01006600000000013,0.010054790187822456,0.010063309812177765,20,1.0,0.0,1.0,1.0,1.0,1.0,1.0,20,410634.79994502675,10.391023312335275,410633.15301556006,410619.77420924866,410650.64968722477,410630.24587826827,410639.35401178524,20,32000.0,0.0,32000.0,32000.0,32000.0,32000.0,32000.0,20,460800.0,0.0,460800.0,460800.0,460800.0,460800.0,460800.0
periodic,4,high,DCF,20,1.5014551712500421,0.13920301949133937,1.4597516800000383,1.3091616950000244,1.8675712950000622,1.440446758055893,1.5624635844441912,20,2.441540230000137,0.05985579583135491,2.43453480000015,2.3497066000001188,2.5814759000001213,2.4153072708481904,2.4677731891520835,20,1.0,0.0,1.0,1.0,1.0,1.0,1.0,20,409910.2552126343,3301.588486793409,409866.84214061755,403105.0703305512,416738.204520668,408463.2702597549,411357.24016551365,20,11200.0,0.0,11200.0,11200.0,11200.0,11200.0,11200.0,20,1064121.6,15672.390051834534,1063910.0,1033228.0,1100940.0,1057252.8722129446,1070990.3277870556
periodic,4,high,Fixed-PRMAC,20,0.332002156223822,0.03717447771746947,0.32380788411827743,0.2819778125000122,0.43972168586389365,0.3157097230197767,0.34829458942786734,20,0.6190955850000537,0.051861364718256586,0.6048553000000525,0.5389495000000576,0.7415570000000524,0.5963663397645312,0.6418248302355761,20,0.96925,0.010294991117298905,0.97,0.95,0.985,0.9647380212066567,0.9737619787933431,20,711910.182320485,20841.517710834043,715810.3985413227,664362.4944164725,745688.782381716,702775.9844507696,721044.3801902004,20,69487.0,1484.2084546458107,69440.0,66540.0,73240.0,68836.51696451589,70137.48303548411,20,910685.4,5289.077567571634,911508.0,900732.0,918324.0,908367.3595520456,913003.4404479545
periodic,4,low,DCF,20,0.018222909999996244,1.1772532706132105e-05,0.018224149999996334,0.018199099999996,0.018242399999996224,0.018217750460050187,0.018228069539942302,20,0.01852139999999306,2.8687793109807302e-05,0.018514999999985376,0.018464000000003457,0.018585000000001982,0.01850882702031154,0.018533972979674584,20,1.0,0.0,1.0,1.0,1.0,1.0,1.0,20,164361.99734250037,3.611309630818896,164362.2775738787,164355.68238906458,164368.8732866874,164360.41461627118,164363.58006872956,20,11200.0,0.0,11200.0,11200.0,11200.0,11200.0,11200.0,20,857600.0,0.0,857600.0,857600.0,857600.0,857600.0,857600.0
periodic,4,low,Fixed-PRMAC,20,0.020162634999998468,7.59835681683164e-06,0.020161099999998433,0.020148799999998485,0.02017799999999849,0.02015930487329596,0.020165965126700977,20,0.020380149999998008,1.3739206290036482e-05,0.02038399999999866,0.020363999999995518,0.020403999999998312,0.02037412852735061,0.020386171472645407,20,1.0,0.0,1.0,1.0,1.0,1.0,1.0,20,164329.78495038158,2.137608422558819,164329.30694435758,164326.34023656423,164334.25169539917,164328.84810218413,164330.72179857903,20,64000.0,0.0,64000.0,64000.0,64000.0,64000.0,64000.0,20,921600.0,0.0,921600.0,921600.0,921600.0,921600.0,921600.0
