protocol,hop_count,packet_count,seed,measurement_end_time,created_packets,delivered_packets,dropped_packets,delivery_ratio,average_end_to_end_delay,p50_end_to_end_delay,p95_end_to_end_delay,p99_end_to_end_delay,maximum_end_to_end_delay,throughput_bps,retransmissions,collision_or_conflict_events,contention_attempts,control_frames_sent,control_bytes_sent,data_frames_sent,data_bytes_sent,total_frames_sent,total_bytes_sent,queue_overflow_drops,maximum_queue_length,average_queue_delay,maximum_queue_delay,active_reservations_after_run,terminal_sessions,simulation_end_time,wall_clock_runtime,platform,sensitivity_type,scenario_id,load_level,interarrival_time,successful_hops,difs_starts,segment_queue_entries,maximum_segment_queue_length,average_segment_queue_delay,maximum_segment_queue_delay,ack_frames_sent,ack_bytes_sent,frames_per_created_packet,bytes_per_created_packet,control_bytes_per_delivered_packet,total_segments,completed_segments,per_flow_metrics,flow_count,jain_fairness,multiflow_scenario,traffic_type
Fixed-PRMAC,4,200,67,3.961656000000002,200,200,0,1.0,0.038727500000000324,,0.05737599999999966,0.057576800000004244,0.05775599999999903,413564.428612681,0,0,400,2400,64000,800,846400,4000,921600,0,,,,0,200,,0.11966269999902579,python,burst,python-burst-4hop-medium-seed-67-Fixed-PRMAC,medium,0.019618090452261316,800,400,400,5,0.00928620000000007,0.03733200000000303,800,11200,20.0,4608.0,320.0,400,400,,,,,
DCF,4,200,77,3.998772000000012,200,200,0,1.0,0.07113487000000375,0.07816800000000124,0.09477585000000924,0.09936102999999978,0.10481200000000031,409725.7858162443,85,42,885,800,11200,885,936330,1685,947530,0,0,0.007474328750000528,0.0,0,200,3.998772000000012,0.3313938999999664,python,burst,python-burst-4hop-medium-seed-77-DCF,medium,,,,,,,,,,,,,,,,,,,
Fixed-PRMAC,4,200,77,3.961296000000001,200,200,0,1.0,0.038746500000000315,,0.057397999999999824,0.05759659999999843,0.05769600000000419,413602.01307854796,0,0,400,2400,64000,800,846400,4000,921600,0,,,,0,200,,0.10042450000037206,python,burst,python-burst-4hop-medium-seed-77-Fixed-PRMAC,medium,0.019618090452261316,800,400,400,5,0.009290550000000074,0.037471999999999284,800,11200,20.0,4608.0,320.0,400,400,,,,,
DCF,4,200,87,3.9995520000000173,200,200,0,1.0,0.06850585000000334,0.07440050000000309,0.0948781499999938,0.09593414000000355,0.09963200000001482,409645.8803385961,86,43,886,800,11200,886,937388,1686,948588,0,0,0.007126920000000427,0.0,0,200,3.9995520000000173,0.33810649999941234,python,burst,python-burst-4hop-medium-seed-87-DCF,medium,,,,,,,,,,,,,,,,,,,
Fixed-PRMAC,4,200,87,3.961056000000001,200,200,0,1.0,0.03873320000000032,,0.05741600000000045,0.0575565999999985,0.057615999999999445,413627.07318452443,0,0,400,2400,64000,800,846400,4000,921600,0,,,,0,200,,0.1034717999973509,python,burst,python-burst-4hop-medium-seed-87-Fixed-PRMAC,medium,0.019618090452261316,800,400,400,5,0.009286900000000075,0.03735199999999894,800,11200,20.0,4608.0,320.0,400,400,,,,,
DCF,4,200,97,3.9893800000000086,200,200,0,1.0,0.07189726000000206,0.07869650000000816,0.09948980000000712,0.11545403000000837,0.13158800000000048,410690.3829667759,109,53,909,800,11200,909,961722,1709,972922,0,0,0.007570708750000166,0.0,0,200,3.9893800000000086,0.3439332999987528,python,burst,python-burst-4hop-medium-seed-97-DCF,medium,,,,,,,,,,,,,,,,,,,
Fixed-PRMAC,4,200,97,3.9613960000000015,200,200,0,1.0,0.03874060000000039,,0.057416000000000494,0.05753659999999936,0.05779599999999929,413591.57226391893,0,0,400,2400,64000,800,846400,4000,921600,0,,,,0,200,,0.10610580000138725,python,burst,python-burst-4hop-medium-seed-97-Fixed-PRMAC,medium,0.019618090452261316,800,400,400,5,0.009286150000000095,0.03743200000000302,800,11200,20.0,4608.0,320.0,400,400,,,,,
DCF,4,200,107,3.9942630000000126,200,200,0,1.0,0.07245812000002423,0.07764500000000457,0.10001625000004699,0.11536803000005812,0.14465800000004014,410188.3125873271,123,61,923,800,11200,923,976534,1723,987734,0,0,0.007488333750004526,0.0,0,200,3.9942630000000126,0.3689253999982611,python,burst,python-burst-4hop-medium-seed-107-DCF,medium,,,,,,,,,,,,,,,,,,,
Fixed-PRMAC,4,200,107,3.9615160000000014,200,200,0,1.0,0.03873250000000034,,0.05739599999999891,0.057516799999999285,0.05777599999999916,413579.0439821521,0,0,400,2400,64000,800,846400,4000,921600,0,,,,0,200,,0.1168022000019846,python,burst,python-burst-4hop-medium-seed-107-Fixed-PRMAC,medium,0.019618090452261316,800,400,400,5,0.009288100000000079,0.03737199999999952,800,11200,20.0,4608.0,320.0,400,400,,,,,
DCF,4,200,117,3.9939320000000293,200,200,0,1.0,0.07159955500000854,0.07729400000002595,0.0991147500000108,0.10481801000002045,0.13611100000000076,410222.3072400802,128,63,928,800,11200,928,981824,1728,993024,0,0,0.007232548750001426,0.0,0,200,3.9939320000000293,0.36032350000095903,python,burst,python-burst-4hop-medium-seed-117-DCF,medium,,,,,,,,,,,,,,,,,,,
Fixed-PRMAC,4,200,117,3.961436000000001,200,200,0,1.0,0.03872750000000034,,0.057435999999998794,0.057637199999998466,0.057776000000004046,413587.3960856618,0,0,400,2400,64000,800,846400,4000,921600,0,,,,0,200,,0.11654399999679299,python,burst,python-burst-4hop-medium-seed-117-Fixed-PRMAC,medium,0.019618090452261316,800,400,400,5,0.009286450000000075,0.03741199999999889,800,11200,20.0,4608.0,320.0,400,400,,,,,
DCF,4,200,127,4.009421000000024,200,200,0,1.0,0.08334790500000037,0.08547000000000432,0.13491199999998268,0.17693260999995536,0.18309400000000775,408637.5563952976,150,75,950,800,11200,950,1005100,1750,1016300,0,0,0.009506341249999791,0.0,0,200,4.009421000000024,0.3984168999995745,python,burst,python-burst-4hop-medium-seed-127-DCF,medium,,,,,,,,,,,,,,,,,,,
Fixed-PRMAC,4,200,127,3.9612960000000013,200,200,0,1.0,0.03892092000000033,,0.057497000000000034,0.05787573999999883,0.07510800000000484,413602.0130785479,6,6,406,2412,64360,800,846400,4012,921960,0,,,,0,200,,0.12786570000025677,python,burst,python-burst-4hop-medium-seed-127-Fixed-PRMAC,medium,0.019618090452261316,800,406,400,5,0.009333130000000078,0.03741200000000289,800,11200,20.06,4609.8,321.8,400,400,,,,,
