tier,mode,protocol,runs,created,delivered,delivery_ratio,losses
tier2,reservation-window,dcf,9,90,90,1.0,"{""APP_SEND_REJECTED"": 0, ""DUPLICATE_SUPPRESSED"": 0, ""MAC_QUEUE_DROP"": 0, ""MAC_RETRY_EXHAUSTED"": 0, ""PHY_RX_DROP"": 0, ""PROTOCOL_CONTROL_TIMEOUT"": 0, ""PROTOCOL_RETRY_EXHAUSTED"": 0, ""SIMULATION_STOP_TIMEOUT"": 0, ""SOCKET_BUFFER_DROP"": 0, ""UNKNOWN_LOSS"": 0}"
tier2,reservation-window,fixed,9,90,90,1.0,"{""APP_SEND_REJECTED"": 0, ""DUPLICATE_SUPPRESSED"": 0, ""MAC_QUEUE_DROP"": 0, ""MAC_RETRY_EXHAUSTED"": 0, ""PHY_RX_DROP"": 0, ""PROTOCOL_CONTROL_TIMEOUT"": 0, ""PROTOCOL_RETRY_EXHAUSTED"": 0, ""SIMULATION_STOP_TIMEOUT"": 0, ""SOCKET_BUFFER_DROP"": 0, ""UNKNOWN_LOSS"": 0}"
tier3,causal-forwarding,dcf,6,600,18,0.03,"{""APP_SEND_REJECTED"": 0, ""DUPLICATE_SUPPRESSED"": 0, ""MAC_QUEUE_DROP"": 0, ""MAC_RETRY_EXHAUSTED"": 0, ""PHY_RX_DROP"": 66, ""PROTOCOL_CONTROL_TIMEOUT"": 0, ""PROTOCOL_RETRY_EXHAUSTED"": 0, ""SIMULATION_STOP_TIMEOUT"": 516, ""SOCKET_BUFFER_DROP"": 0, ""UNKNOWN_LOSS"": 0}"
tier3,causal-forwarding,fixed,6,600,101,0.16833333333333333,"{""APP_SEND_REJECTED"": 0, ""DUPLICATE_SUPPRESSED"": 0, ""MAC_QUEUE_DROP"": 0, ""MAC_RETRY_EXHAUSTED"": 0, ""PHY_RX_DROP"": 33, ""PROTOCOL_CONTROL_TIMEOUT"": 0, ""PROTOCOL_RETRY_EXHAUSTED"": 0, ""SIMULATION_STOP_TIMEOUT"": 466, ""SOCKET_BUFFER_DROP"": 0, ""UNKNOWN_LOSS"": 0}"
tier3,combined-reference,dcf,6,600,214,0.3566666666666667,"{""APP_SEND_REJECTED"": 0, ""DUPLICATE_SUPPRESSED"": 0, ""MAC_QUEUE_DROP"": 0, ""MAC_RETRY_EXHAUSTED"": 0, ""PHY_RX_DROP"": 21, ""PROTOCOL_CONTROL_TIMEOUT"": 0, ""PROTOCOL_RETRY_EXHAUSTED"": 0, ""SIMULATION_STOP_TIMEOUT"": 365, ""SOCKET_BUFFER_DROP"": 0, ""UNKNOWN_LOSS"": 0}"
tier3,combined-reference,fixed,6,600,142,0.23666666666666666,"{""APP_SEND_REJECTED"": 0, ""DUPLICATE_SUPPRESSED"": 0, ""MAC_QUEUE_DROP"": 0, ""MAC_RETRY_EXHAUSTED"": 0, ""PHY_RX_DROP"": 37, ""PROTOCOL_CONTROL_TIMEOUT"": 0, ""PROTOCOL_RETRY_EXHAUSTED"": 0, ""SIMULATION_STOP_TIMEOUT"": 421, ""SOCKET_BUFFER_DROP"": 0, ""UNKNOWN_LOSS"": 0}"
tier3,k2-segment,dcf,6,600,164,0.2733333333333333,"{""APP_SEND_REJECTED"": 0, ""DUPLICATE_SUPPRESSED"": 0, ""MAC_QUEUE_DROP"": 0, ""MAC_RETRY_EXHAUSTED"": 0, ""PHY_RX_DROP"": 29, ""PROTOCOL_CONTROL_TIMEOUT"": 0, ""PROTOCOL_RETRY_EXHAUSTED"": 0, ""SIMULATION_STOP_TIMEOUT"": 407, ""SOCKET_BUFFER_DROP"": 0, ""UNKNOWN_LOSS"": 0}"
tier3,k2-segment,fixed,6,600,235,0.39166666666666666,"{""APP_SEND_REJECTED"": 0, ""DUPLICATE_SUPPRESSED"": 0, ""MAC_QUEUE_DROP"": 0, ""MAC_RETRY_EXHAUSTED"": 0, ""PHY_RX_DROP"": 50, ""PROTOCOL_CONTROL_TIMEOUT"": 0, ""PROTOCOL_RETRY_EXHAUSTED"": 0, ""SIMULATION_STOP_TIMEOUT"": 315, ""SOCKET_BUFFER_DROP"": 0, ""UNKNOWN_LOSS"": 0}"
tier3,original,dcf,6,600,164,0.2733333333333333,"{""APP_SEND_REJECTED"": 0, ""DUPLICATE_SUPPRESSED"": 0, ""MAC_QUEUE_DROP"": 0, ""MAC_RETRY_EXHAUSTED"": 0, ""PHY_RX_DROP"": 29, ""PROTOCOL_CONTROL_TIMEOUT"": 0, ""PROTOCOL_RETRY_EXHAUSTED"": 0, ""SIMULATION_STOP_TIMEOUT"": 407, ""SOCKET_BUFFER_DROP"": 0, ""UNKNOWN_LOSS"": 0}"
tier3,original,fixed,6,600,110,0.18333333333333332,"{""APP_SEND_REJECTED"": 0, ""DUPLICATE_SUPPRESSED"": 0, ""MAC_QUEUE_DROP"": 0, ""MAC_RETRY_EXHAUSTED"": 0, ""PHY_RX_DROP"": 86, ""PROTOCOL_CONTROL_TIMEOUT"": 0, ""PROTOCOL_RETRY_EXHAUSTED"": 0, ""SIMULATION_STOP_TIMEOUT"": 404, ""SOCKET_BUFFER_DROP"": 0, ""UNKNOWN_LOSS"": 0}"
tier3,positioned-chain,dcf,6,600,475,0.7916666666666666,"{""APP_SEND_REJECTED"": 0, ""DUPLICATE_SUPPRESSED"": 0, ""MAC_QUEUE_DROP"": 0, ""MAC_RETRY_EXHAUSTED"": 0, ""PHY_RX_DROP"": 32, ""PROTOCOL_CONTROL_TIMEOUT"": 0, ""PROTOCOL_RETRY_EXHAUSTED"": 0, ""SIMULATION_STOP_TIMEOUT"": 93, ""SOCKET_BUFFER_DROP"": 0, ""UNKNOWN_LOSS"": 0}"
tier3,positioned-chain,fixed,6,600,391,0.6516666666666666,"{""APP_SEND_REJECTED"": 0, ""DUPLICATE_SUPPRESSED"": 0, ""MAC_QUEUE_DROP"": 0, ""MAC_RETRY_EXHAUSTED"": 0, ""PHY_RX_DROP"": 80, ""PROTOCOL_CONTROL_TIMEOUT"": 0, ""PROTOCOL_RETRY_EXHAUSTED"": 0, ""SIMULATION_STOP_TIMEOUT"": 129, ""SOCKET_BUFFER_DROP"": 0, ""UNKNOWN_LOSS"": 0}"
tier3,reservation-window,dcf,6,600,164,0.2733333333333333,"{""APP_SEND_REJECTED"": 0, ""DUPLICATE_SUPPRESSED"": 0, ""MAC_QUEUE_DROP"": 0, ""MAC_RETRY_EXHAUSTED"": 0, ""PHY_RX_DROP"": 29, ""PROTOCOL_CONTROL_TIMEOUT"": 0, ""PROTOCOL_RETRY_EXHAUSTED"": 0, ""SIMULATION_STOP_TIMEOUT"": 407, ""SOCKET_BUFFER_DROP"": 0, ""UNKNOWN_LOSS"": 0}"
tier3,reservation-window,fixed,6,600,105,0.175,"{""APP_SEND_REJECTED"": 0, ""DUPLICATE_SUPPRESSED"": 0, ""MAC_QUEUE_DROP"": 0, ""MAC_RETRY_EXHAUSTED"": 0, ""PHY_RX_DROP"": 78, ""PROTOCOL_CONTROL_TIMEOUT"": 0, ""PROTOCOL_RETRY_EXHAUSTED"": 0, ""SIMULATION_STOP_TIMEOUT"": 417, ""SOCKET_BUFFER_DROP"": 0, ""UNKNOWN_LOSS"": 0}"
