hop_count,load_level,dcf_mean_delay,fixed_mean_delay,fixed_delay_minus_dcf,fixed_delay_lower,dcf_mean_p95,fixed_mean_p95,dcf_mean_p99,fixed_mean_p99,dcf_delivery_ratio,fixed_delivery_ratio,fixed_delivery_not_lower,dcf_throughput_bps,fixed_throughput_bps,dcf_collision_events,fixed_conflict_events,dcf_retransmissions,fixed_retries,dcf_control_bytes,fixed_control_bytes,dcf_total_bytes,fixed_total_bytes,dcf_mean_queue_delay,fixed_mean_queue_delay,fixed_mean_queue_overflow_drops,fixed_mean_maximum_queue_length
2,low,0.009108666666666786,0.009943499999999992,0.0008348333333332066,0,0.009304000000000168,0.010052333333333323,0.009326400000000177,0.010057933333333335,1.0,1.0,1,182545.44836890476,182044.78243845142,0.0,0.0,0.0,0.0,224.0,1280.0,17152.0,18432.0,0.0,0.0,0.0,1.0
2,medium,0.009108666666666683,0.009943500000000001,0.0008348333333333176,0,0.009304000000000047,0.010052333333333332,0.009326400000000042,0.01005793333333332,1.0,1.0,1,439803.759422396,436908.6205659901,0.0,0.0,0.0,0.0,224.0,1280.0,17152.0,18432.0,0.0,0.0,0.0,1.0
2,high,0.017751916666666666,0.017917333333333355,0.0001654166666666887,0,0.02727133333333333,0.025056033333333363,0.028032933333333333,0.025708806666666688,1.0,1.0,1,847584.7976882491,800477.715496085,1.0,0.0,2.0,0.0,224.0,1280.0,19268.0,18432.0,0.0019804166666666685,0.007973833333333352,0.0,3.0
4,low,0.01819566666666687,0.020178999999999992,0.001983333333333122,0,0.018415000000000313,0.020345000000000023,0.018454200000000226,0.020365533333333352,1.0,1.0,1,178085.06744953306,177010.78583165933,0.0,0.0,0.0,0.0,448.0,2560.0,34304.0,36864.0,0.0,0.0,0.0,1.0
4,medium,0.018195666666666686,0.020179000000000006,0.0019833333333333196,0,0.01841500000000006,0.020344999999999985,0.018454200000000053,0.020365533333333297,1.0,1.0,1,414774.8986465769,408993.37046794704,0.0,0.0,0.0,0.0,448.0,2560.0,34304.0,36864.0,0.0,0.0,0.0,1.0
4,high,0.08135441666666679,0.028236166666666684,-0.0531182500000001,1,0.1039590000000001,0.03543803333333332,0.10469260000000012,0.036098273333333306,1.0,1.0,1,416230.43567591504,710318.8283034358,3.0,0.0,6.0,0.0,448.0,2560.0,40652.0,36864.0,0.009022760416666687,0.004028583333333342,0.0,3.0
6,low,0.027350166666666988,0.030434500000000007,0.003084333333333019,0,0.027723000000000383,0.03067866666666665,0.02775473333333367,0.030697333333333302,1.0,1.0,1,173806.81788560608,172205.51748951935,0.0,0.0,0.0,0.0,672.0,3840.0,51456.0,55296.0,0.0,0.0,0.0,1.0
6,medium,0.08699624999999962,0.03172483333333335,-0.055271416666666275,1,0.11938163333333274,0.03321586666666686,0.1212171266666661,0.033333840000000226,1.0,1.0,1,285950.3749606847,378172.2714832222,3.0,7.333333333333333,6.333333333333333,7.333333333333333,672.0,4720.0,58156.666666666664,56176.0,0.0026687499999999793,0.0,0.0,1.0
6,high,0.15424995833333296,0.038567500000000005,-0.11568245833333296,1,0.186041966666666,0.045827033333333274,0.187224126666666,0.04648913999999993,1.0,1.0,1,277296.3587188423,638413.2560501856,4.666666666666667,0.0,9.333333333333334,0.0,672.0,3840.0,61330.666666666664,55296.0,0.012803284722222192,0.0027110000000000046,0.0,3.0
